case_id,x,y
vv,1.28,0.55396
vv,1.29,0.56535
vv,1.3,0.56914
vv,1.31,0.58685
vv,1.32,0.58432
vv,1.33,0.60961
vv,1.35,0.63744
vv,1.37,0.67285
vv,1.38,0.71712
vv,1.39,0.71332
vv,1.4,0.75379
vv,1.41,0.75126
vv,1.42,0.7968
vv,1.43,0.83474
vv,1.44,0.84612
vv,1.45,0.90304
vv,1.46,0.90304
vv,1.47,0.95426
vv,1.48,1.02066
vv,1.49,1.01686
vv,1.5,1.07947
vv,1.51,1.14587
vv,1.52,1.14081
vv,1.53,1.21417
vv,1.54,1.28246
vv,1.55,1.2774
vv,1.56,1.3457
vv,1.57,1.37732
vv,1.58,1.41526
vv,1.59,1.48988
vv,1.6,1.48735
vv,1.61,1.55818
vv,1.62,1.62901
vv,1.63,1.62395
vv,1.64,1.69224
vv,1.65,1.75295
vv,1.66,1.74916
vv,1.67,1.77572
vv,1.68,1.78331
vv,1.69,1.73272
vv,1.7,1.63659
vv,1.71,1.49874
vv,1.72,1.2855
ww,0.02,3.98967
ww,0.05,3.68347
ww,0.06,3.20236
ww,0.07,2.86277
ww,0.08,2.57403
ww,0.09,2.39292
ww,0.12,2.26138
ww,0.13,2.26897
ww,0.14,2.27656
ww,0.15,2.28415
ww,0.16,2.30084
ww,0.17,2.31261
ww,0.18,2.32589
ww,0.19,2.34789
ww,0.2,2.36003
ww,0.21,2.37901
ww,0.22,2.40556
ww,0.23,2.43402
ww,0.24,2.45489
ww,0.25,2.486
ww,0.26,2.5175
ww,0.27,2.54671
ww,0.28,2.57631
ww,0.29,2.60097
ww,0.3,2.63474
ww,0.31,2.65788
ww,0.32,2.67496
ww,0.33,2.69393
ww,0.34,2.72049
ww,0.35,2.73946
ww,0.36,2.75616
ww,0.37,2.77171
ww,0.38,2.78651
ww,0.39,2.80207
ww,0.4,2.81535
ww,0.41,2.82142
ww,0.42,2.83052
ww,0.43,2.83052
ww,0.44,2.83811
ww,0.45,2.84001
ww,0.46,2.8457
ww,0.47,2.8438
ww,0.48,2.83811
ww,0.49,2.83356
ww,0.5,2.83052
ww,0.51,2.82483
ww,0.52,2.81535
ww,0.53,2.81345
ww,0.54,2.80017
ww,0.55,2.78347
ww,0.56,2.76981
ww,0.57,2.75919
ww,0.58,2.74325
ww,0.59,2.73377
ww,0.6,2.71669
ww,0.61,2.70152
ww,0.62,2.69013
ww,0.63,2.67268
ww,0.64,2.65409
ww,0.65,2.63891
ww,0.66,2.61956
ww,0.67,2.60097
ww,0.68,2.5801
ww,0.69,2.55544
ww,0.7,2.53457
ww,0.71,2.51332
ww,0.72,2.48524
ww,0.73,2.45679
ww,0.74,2.43744
ww,0.75,2.40367
ww,0.76,2.37142
ww,0.77,2.33879
ww,0.78,2.30502
ww,0.79,2.27808
ww,0.8,2.25
ww,0.81,2.22344
ww,0.82,2.18094
ww,0.83,2.13427
ww,0.84,2.09633
ww,0.85,2.05497
ww,0.86,2.01286
ww,0.87,1.98061
ww,0.88,1.93318
ww,0.89,1.88196
ww,0.9,1.82125
ww,0.91,1.76623
ww,0.92,1.72639
ww,0.93,1.67555
ww,0.94,1.63343
ww,0.95,1.59359
ww,0.96,1.53137
ww,0.97,1.47028
ww,0.98,1.41602
ww,0.99,1.36594
ww,1.0,1.3242
ww,1.01,1.28094
ww,1.02,1.23693
ww,1.03,1.18571
ww,1.04,1.13373
ww,1.05,1.08895
ww,1.06,1.05481
ww,1.07,1.01838
ww,1.08,0.9903
ww,1.09,0.95919
ww,1.1,0.9258
ww,1.11,0.90493
ww,1.12,0.88786
ww,1.13,0.87268
ww,1.14,0.8613
ww,1.15,0.8575
ww,1.16,0.8575
ww,1.17,0.8575
ww,1.18,0.8575
ww,1.21,0.8575
ww,1.22,0.8575
ww,1.23,0.86358
ww,1.24,0.87268
ww,1.25,0.88406
ww,1.26,0.88786
ww,1.27,0.91252
ww,1.28,0.9296
ww,1.29,0.95008
ww,1.3,0.97702
ww,1.31,0.99865
ww,1.32,1.03963
ww,1.33,1.07188
ww,1.34,1.11096
ww,1.35,1.14207
ww,1.36,1.18761
ww,1.37,1.23845
ww,1.38,1.29005
ww,1.39,1.33862
ww,1.4,1.39439
ww,1.41,1.4532
ww,1.42,1.51467
ww,1.43,1.57083
ww,1.44,1.63343
ww,1.45,1.70894
ww,1.46,1.77003
ww,1.47,1.83453
ww,1.48,1.91383
ww,1.49,1.9844
ww,1.5,2.06712
ww,1.51,2.14566
ww,1.52,2.21965
ww,1.53,2.3054
ww,1.54,2.38659
ww,1.55,2.47007
ww,1.56,2.56492
ww,1.57,2.66358
ww,1.58,2.75464
ww,1.59,2.86998
ww,1.6,2.98798
ww,1.61,3.1204
ww,1.62,3.26117
ww,1.63,3.39777
ww,1.64,3.57572
ww,1.65,3.78668
ww,1.66,4.01623
ww,1.67,4.32546
ww,1.68,4.74094
ww,1.69,5.20573
ww,1.7,5.94334
